id,nom,ville,cuisine,site_actuel,note_google,nb_avis,gmb_completude,lighthouse_mobile,age_site_ans,valeur_apportable,proba_acceptation,score_final,confidence,tier,bande_action,pourquoi_lui,statut,drapeau_rouge,date_scan,argument_qui_a_converti,raison_perte,cta_appel,cta_itineraire,cta_resa,menu_facile,photos_exploitables,instagram_actif,repond_avis,ecart_concurrentiel,angle_approche,commentaire_manuel
le-georges,Le Georges,Chartres,,https://www.bw-grand-monarque.com/,4.8,290,65,29,,47,83,63,95,C,Réserve,site lent (perf 29/100),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
pizza-cosy,Pizza Cosy,Chartres,pizza,https://www.pizzacosy.fr/,4.8,914,65,42,9.6,46,84,63,95,C,Réserve,site lent (perf 42/100),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
jungle-cafe,Jungle Café,Chartres,,https://le-jungle-cafe.eatbu.com/,4.1,382,65,43,1.1,56,68,61,95,C,Réserve,4.1/382 avis mais site eatbu loué,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
saveurs-plaisirs,Saveurs & Plaisirs,Chartres,,http://les-plaisirs-tropikal.sumup.link/,4.9,39,65,57,,55,69,61,95,C,Réserve,site sans appel à l'action clair (ni réservation  ni menu  ni tel visible),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
unyc-brasserie,Unyc Brasserie,Barjouville,brasserie,https://www.unycbrasserie.com/,4.6,1809,65,49,3.2,46,79,61,95,C,Réserve,site lent (perf 49/100),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
cobalt,Cobalt,Chartres,,https://www.cobalt-chartres.com/,4.7,846,65,34,3.7,45,82,61,95,C,Réserve,site lent (perf 34/100),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-montescot,Le Montescot,Chartres,,https://cafe-montescot.grubkit.fr/,4.4,622,65,100,2.0,53,68,60,95,C,Réserve,site sans appel à l'action clair (ni réservation  ni menu  ni tel visible),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
aux-vieux-garcons,Aux Vieux Garçons,Chartres,,https://auxvieuxgarcons.fr/,4.6,532,65,50,4.5,51,71,60,95,C,Réserve,site lent (perf 50/100),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-chene-fleuri,Le Chêne Fleuri,Chartres,,http://www.lechenefleuri.net/,4.5,105,45,39,1.7,49,73,60,95,C,Réserve,site lent (perf 39/100),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
brasserie-la-cour,Brasserie La Cour,Chartres,,https://www.grand-monarque.com/fr/restaurants-bar/brasserie-la-cour.html,4.6,1823,65,28,,43,81,60,95,C,Réserve,site lent (perf 28/100),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-21,Le 21,Chartres,french,https://le-21.eatbu.com/?lang=fr,4.8,335,65,63,,42,82,60,95,C,Réserve,4.8/335 avis mais site eatbu loué,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-tres-superbe,Le Très Superbe,Chartres,tea,https://www.le-tres-superbe.fr/,4.8,233,65,52,,42,81,60,95,C,Réserve,site lent (perf 52/100),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
l-isola,L'isola,Chartres,pizza,https://l-isola-chartres.eatbu.com/,4.7,387,65,70,,40,84,60,95,C,Réserve,4.7/387 avis mais site eatbu loué,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
chai-laurent,Chai Laurent,Chartres,french,https://chailaurent.eatbu.com/,4.6,106,65,68,,39,86,60,95,C,Réserve,4.6/106 avis mais site eatbu loué,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-madrigal,Le Madrigal,Chartres,,https://www.grand-monarque.com/fr/restaurants-bar/bar-lounge-le-madrigal.html,4.5,468,65,23,,44,78,59,95,C,Réserve,site lent (perf 23/100),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
les-3-lys,Les 3 Lys,Chartres,crepe,http://www.creperie-chartres.fr/,4.4,803,85,,,56,63,59,62,C,Réserve,site sans appel à l'action clair (ni réservation  ni menu  ni tel visible),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-tripot,Le Tripot,Chartres,french,https://letripot.wixsite.com/chartres,4.7,540,85,72,9.1,44,76,58,95,C,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
cabanoniers-bar-a-petanques,Cabanoniers Bar à Pétanques,Chartres,,https://www.cabanoniers.fr/,4.8,208,65,57,,38,82,58,95,C,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
mon-paris-iv,Mon Paris IV !,Chartres,brasserie,https://mon-paris-iv-restaurant-chartres.fr/fr,4.6,327,65,,1.9,44,76,58,52,C,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-medieval,Le Medieval,Chartres,,http://restaurant-le-medieval.fr/,4.7,478,65,57,8.2,43,74,57,95,C,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
l-hotel,L'Hôtel,Chartres,,https://www.grand-monarque.com/fr/,4.4,874,45,16,,47,68,56,95,C,Réserve,site lent (perf 16/100),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
hotel-du-prefet,Hôtel du préfet,Chartres,,https://www.grand-monarque.com/fr/,4.4,874,45,20,4.5,47,68,56,95,C,Réserve,site lent (perf 20/100),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
l-amphitryon,L'Amphitryon,Chartres,,http://www.leboeufcouronne.com/,4.6,2216,85,30,,42,73,56,95,C,Réserve,site lent (perf 30/100),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
b-chef,B-Chef,Chartres,,https://bchef.fr/les-restaurants-bchef/bchef-chartres-place-du-cygne/,4.4,561,65,39,4.9,41,73,56,95,C,Réserve,site lent (perf 39/100),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-comptoir-de-mamie-bigoude,Le Comptoir de Mamie  Bigoude,Chartres,crepe,http://www.comptoirmamiebigoude.com/,4.4,725,65,57,6.8,47,66,55,95,C,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-shalimar,Le Shalimar,Chartres,indian,http://leshalimar-chartres.eatbu.com/,4.4,1035,85,58,0.2,45,67,55,95,C,Réserve,4.4/1035 avis mais site eatbu loué,a_qualifier,Site très récent (<6 mois) : vient d'investir. Ne pas visiter avant 12 mois.,2026-05-17,,,,,,,,,,,,
la-petite-venise,La Petite Venise,Chartres,,https://www.laguinguettedechartres.fr/,4.5,1397,65,52,10.2,43,70,55,95,C,Réserve,site lent (perf 52/100),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
brasserie-de-l-ouest,Brasserie de l'ouest,Chartres,,https://brasseriedelouest.wixsite.com/brasseriedelouest28,4.2,249,65,62,,40,73,55,95,C,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-rustic,Le Rustic,Chartres,,https://www.barlerustic.com/,4.5,284,65,53,2.0,42,68,54,95,D,Réserve,site lent (perf 53/100),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
dawat,Dawat,Chartres,indian,https://restaurantdawat.fr/,4.7,279,65,56,1.4,37,76,54,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
piperno,Piperno,Chartres,pizza,https://piperno.fr,4.2,538,65,59,5.2,41,68,53,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
les-feuillantines,Les Feuillantines,Chartres,french,http://restaurantlesfeuillantines.fr/,4.6,850,85,26,1.1,38,71,53,95,D,Réserve,site lent (perf 26/100),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-moulin-de-ponceau,Le Moulin de Ponceau,Chartres,,https://www.restaurant-moulin-ponceau.fr/,4.6,1210,85,57,,36,73,53,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-kiosque-a-pizzas,Le Kiosque à Pizzas,Champhol,pizza,https://www.le-kiosque-a-pizzas.com/commander-pizza/pizza-champhol-449-0.html,4.5,124,85,46,10.0,36,74,53,95,D,Réserve,site lent (perf 46/100),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
novotel-cafe,Novotel Café,Chartres,,https://restaurantsandbars.accor.com/fr/restaurant/0413_R001,3.5,40,65,30,2.7,51,55,53,72,D,Réserve,site lent (perf 30/100),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
king-wok,King Wok,Luisant,wok chinese,https://www.kingwok.fr/,3.8,247,45,56,,44,62,52,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
la-picoterie,La Picoterie,Chartres,crepe,http://www.picoterie.com/,4.3,1647,85,56,,43,61,52,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
anamour-kebab,Anamour kebab,Chartres,kebab,https://anamour-restaurant-luce.order.dish.co/contact,4.6,300,65,68,,43,62,52,95,D,Réserve,site sans appel à l'action clair (ni réservation  ni menu  ni tel visible),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
hot-chef,Hot Chef,Chartres,,https://bchef.fr/restaurants_bchef/bchef-chartres/burgers_chartres/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website,4.4,561,65,44,,41,66,52,95,D,Réserve,site lent (perf 44/100),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
maleyssie,Maleyssie,Chartres,,https://www.maleyssie-chartres.fr/,4.3,306,65,49,1.4,41,65,52,95,D,Réserve,site lent (perf 49/100),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
cafe-bleu,Café Bleu,Chartres,french,http://www.cafebleu-chartres.com/,4.5,2197,85,52,,36,70,52,95,D,Réserve,site lent (perf 52/100),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-parvis,Le Parvis,Chartres,french,https://www.le-parvis-chartres.fr/,4.1,162,65,36,,48,54,51,95,D,Réserve,site lent (perf 36/100),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
bistro-des-halles,Bistro des Halles,Chartres,,https://www.le-bistro-des-halles-chartres.fr/,4.7,225,65,61,3.4,40,64,51,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-bon-coin,Le bon coin,Chartres,,https://creperie-auboncoin-chartres.eatbu.com/,3.9,110,65,71,,39,66,51,95,D,Réserve,3.9/110 avis mais site eatbu loué,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
pitaya,Pitaya,Chartres,thai,https://restaurants.pitaya-thaistreetfood.com/chartres/,4,433,65,42,,41,62,50,95,D,Réserve,site lent (perf 42/100),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
jbj-sushi,JBJ Sushi,Chartres,sushi,http://jbjsushi.com/,4.6,317,65,56,,35,70,50,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
chartres-a-bloc,Chartres à bloc,Chartres,,https://chartresabloc.fr,4.6,156,65,68,,33,70,50,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
l-estocade,L'Estocade,Chartres,french,https://estocade-chartres.fr/,4.6,858,65,64,,32,72,50,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
pizze,Pizze,Chartres,pizza,https://restaurantpizze.eatbu.com/,4,84,45,61,1.5,40,60,49,95,D,Réserve,4/84 avis mais site eatbu loué,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
shogun-sushi,Shogun Sushi,Chartres,japanese,http://www.shogun-sushi.fr/,4.6,1087,85,65,,38,62,49,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
tomate-piment,Tomate & Piment,Chartres,,http://www.tomate-et-piment.fr/?utm_source=gmb,4.3,625,85,17,0.5,37,63,49,95,D,Réserve,site lent (perf 17/100),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-cafe-serpente,Le Café Serpente,Chartres,french,https://www.cafeserpente.fr/,4.3,2248,65,36,,37,63,49,95,D,Réserve,site lent (perf 36/100),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
kim-tea,Kim tea,Chartres,,http://kimtea.fr/,4.9,143,65,70,3.0,35,65,49,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
hanami,Hanami,Chartres,japanese,http://www.hanamihandrolls.fr/,4.9,251,65,63,,33,68,49,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
